iter	RMSE
0	0.737089283
1	0.6926904749
2	0.6550532686
3	0.6190645761
4	0.5883883257
5	0.5607144527
6	0.5351936331
7	0.5116717894
8	0.491542333
9	0.4720144188
10	0.4560131294
11	0.4409717037
12	0.4281543758
13	0.4171430764
14	0.4082321594
15	0.3987634268
16	0.3903469018
17	0.3832979171
18	0.3766816113
19	0.3705503662
20	0.3653570121
21	0.3604006008
22	0.3564371444
23	0.3516100045
24	0.3482990811
25	0.3451808601
26	0.3423944999
27	0.3396401985
28	0.3365162487
29	0.3343415654
30	0.3320529792
31	0.3301199951
32	0.3281356851
33	0.326808745
34	0.3251871793
35	0.3242862621
36	0.3233558902
37	0.3221953983
38	0.320956879
39	0.3195196454
40	0.3184586444
41	0.3174915634
42	0.3166729642
43	0.315534073
44	0.3143185999
45	0.3134855463
46	0.3122891119
47	0.3119716943
48	0.3107394471
49	0.3101426756
50	0.3095295285
51	0.309093869
52	0.3082359878
53	0.3078174349
54	0.3074166886
55	0.3069347453
56	0.3061242967
57	0.3058262479
58	0.305153128
59	0.3049805315
60	0.3046271942
61	0.3039800327
62	0.3038704321
63	0.3036273845
64	0.3031731557
65	0.302637294
66	0.3023721116
67	0.3021443967
68	0.3015421189
69	0.3010960408
70	0.300903979
71	0.3007422043
72	0.3004351161
73	0.3001414009
74	0.2998099984
75	0.2995853284
76	0.2994186741
77	0.2989836098
78	0.2988193826
79	0.2983920293
80	0.2980657219
81	0.297599821
82	0.2974269522
83	0.297161568
84	0.2969075611
85	0.2962267901
86	0.295693998
87	0.2950718136
88	0.2947350149
89	0.29425259
90	0.2933653615
91	0.2932216667
92	0.2923671703
93	0.2919905674
94	0.2916807871
95	0.2913703236
96	0.2912324991
97	0.2910290893
98	0.2907069595
99	0.2905116268
100	0.2903470551
101	0.2899047467
102	0.2893322819
103	0.2888649304
104	0.2884555988
105	0.2880273096
106	0.2879120103
107	0.2874444328
108	0.2868477109
109	0.2862461588
110	0.2860137417
111	0.2854597063
112	0.2849630089
113	0.2848528656
114	0.2846679987
115	0.2841904316
116	0.2837810086
117	0.2833161599
118	0.283218024
119	0.2828104648
120	0.2827475803
121	0.2823120348
122	0.2818306527
123	0.2817679398
124	0.2813320837
125	0.2813128637
126	0.2808132804
127	0.2802440469
128	0.2798146738
129	0.2796214596
130	0.2795351284
131	0.2789980877
132	0.2785149912
133	0.2783891464
134	0.278036509
135	0.2778031937
136	0.2775756971
137	0.2770965454
138	0.2770150466
139	0.2766693034
140	0.2763215182
141	0.2759207541
142	0.2755024764
143	0.2750890194
144	0.2747959886
145	0.2744445041
146	0.2744264465
147	0.2741002849
148	0.274078474
149	0.2740008111
150	0.2737426258
151	0.273648287
152	0.2735571446
153	0.2734298773
154	0.2730242236
155	0.272652866
156	0.2723806978
157	0.2720361088
158	0.2720159447
159	0.2716875921
160	0.271600827
161	0.2712763895
162	0.2709120176
163	0.2707808215
164	0.2707016288
165	0.2703037326
166	0.2698854158
167	0.2696625558
168	0.2695534095
169	0.2691703184
170	0.2687413217
171	0.2687313786
172	0.268482514
173	0.2681201154
174	0.2679098863
175	0.2679003694
176	0.2678407941
177	0.2678319724
178	0.2674369853
179	0.2674082841
180	0.2671779735
181	0.2668961958
182	0.2665841077
183	0.2665423678
184	0.2662169962
185	0.2657350277
186	0.2654597523
187	0.2653449135
188	0.265324414
189	0.2651934933
190	0.2649012996
191	0.2648669578
192	0.2648584169
193	0.2646188894
194	0.2644237497
195	0.264300816
196	0.2642655719
197	0.2639650394
198	0.2636882001
199	0.2634289291
200	0.2632940347
201	0.2629429999
202	0.2624035954
203	0.2622113915
204	0.2619661975
205	0.2617293938
