iter	Passed	Remaining
0	5	5890
1	11	5542
2	17	5663
3	24	6223
4	31	6233
5	36	6105
6	41	5917
7	48	6040
8	54	6050
9	60	6001
10	66	5994
11	71	5855
12	75	5760
13	81	5774
14	87	5745
15	93	5719
16	98	5720
17	105	5736
18	109	5673
19	116	5706
20	121	5684
21	127	5687
22	134	5730
23	140	5707
24	147	5741
25	152	5700
26	157	5660
27	161	5609
28	166	5576
29	173	5595
30	178	5567
31	183	5561
32	189	5563
33	195	5567
34	202	5596
35	208	5571
36	213	5567
37	221	5595
38	228	5625
39	239	5742
40	245	5753
41	257	5878
42	264	5875
43	269	5850
44	274	5822
45	280	5824
46	286	5803
47	291	5774
48	298	5799
49	304	5777
50	311	5788
51	320	5833
52	326	5832
53	333	5836
54	339	5826
55	345	5825
56	352	5830
57	368	5989
58	374	5973
59	382	5984
60	387	5963
61	391	5928
62	398	5925
63	403	5899
64	408	5880
65	416	5888
66	421	5863
67	426	5843
68	433	5847
69	438	5827
70	445	5827
71	451	5817
72	456	5794
73	463	5801
74	468	5782
75	473	5757
76	480	5763
77	486	5754
78	494	5768
79	500	5754
80	505	5732
81	512	5741
82	517	5719
83	524	5719
84	530	5707
85	535	5692
86	542	5694
87	548	5681
88	554	5676
89	560	5672
90	566	5657
91	572	5652
92	578	5639
93	584	5637
94	590	5628
95	595	5608
96	601	5603
97	607	5587
98	612	5574
99	617	5560
100	622	5545
101	629	5543
102	635	5537
103	641	5524
104	647	5516
105	652	5500
106	656	5480
107	663	5479
108	669	5472
109	675	5465
110	681	5455
111	685	5438
112	692	5434
113	698	5427
114	705	5426
115	712	5428
116	721	5442
117	728	5445
118	737	5458
119	744	5456
120	749	5441
121	753	5422
122	759	5415
123	765	5405
124	770	5396
125	776	5387
126	783	5385
127	788	5373
128	795	5370
129	801	5364
130	807	5353
131	812	5343
132	817	5329
133	823	5322
134	828	5308
135	835	5309
136	841	5299
137	848	5302
138	854	5294
139	859	5280
140	865	5272
141	871	5265
142	877	5257
143	882	5246
144	887	5233
145	893	5224
146	898	5214
147	913	5259
148	934	5338
149	945	5355
150	954	5366
151	961	5365
152	968	5361
153	973	5350
