id,price,rooms,floor,full_area,living_area,kitchen_area,num_storeys,typical_panel,concrete_monolithic,old_brick,first_rental,adjacent_separate,ukrainian_brick,eurorenovation,satisfactory_condition,multilevel,kitchen_living_room,penthouse,old_panel,good_condition,pre_revolutionary,gas_block,repair_in_progress,free_planning,adjacent,separate,ukrainian_panel,Stalinka,excellent_condition,studio,designer_renovation,safe,shower_cabin,wardrobe,TV,hair_dryer,dishes,satellite_TV,DVD_player,washing_machine,fireplace,dishwashers,alarms,bed,counters,air_conditioning,refrigerator,jacuzzi,microwave,iron,cable_TV,lat,lon,district_lat,district_lon,min_dist_to_subway,dist_to_center,full_area_log,floor_other,num_storeys_other,living_area_log,kitchen_area_log,last_floor,first_floor,full_area|kitchen_area_log,dist_to_center|full_area_log,dist_to_center|full_area_log|kitchen_area,subway,district,needs_repairs
10825753,133000,4,14,135.0,100.0,25.0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,50.4093151,30.5458591157612,50.44582665,30.53806236407185,0.8956117233142321,4.92370602286666,4.912654885736052,14,17,4.605170185988092,3.258096538021482,False,False,41.435236318068206,1.0022495244196157,16617.507827174977,дружби народів,Печерський,0
10784117,22762,3,6,100.0,80.0,10.0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,50.44582665,30.53806236407185,50.44582665,30.53806236407185,0.5944195843731315,1.3413846847770994,4.61512051684126,6,6,4.382026634673881,2.3978952727983707,True,False,41.70323914242463,0.2906499797528987,1341.3846847770994,арсенальна,Печерський,0
10810186,8499,1,19,37.0,19.0,8.0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.459437050000005,30.331931174544472,50.459437050000005,30.331931174544472,1.6122613740733729,13.44135673249414,3.6375861597263857,19,24,2.9444389791664403,2.19722457733622,False,False,16.83942569259649,3.6951308209027225,3978.6415928182655,академмістечко,Святошинський,0
10824293,10500,1,18,36.0,15.0,12.0,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.46276145,30.592308359595243,50.45182665,30.611397100290525,1.270630455276679,5.264118786433305,3.610917912644224,18,25,2.70805020110221,2.5649493574615367,False,False,14.035364829046085,1.4578339673688303,2274.099315739188,лівобережна,Дніпровський,0
10819688,37962,2,18,52.0,20.0,12.0,25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,50.5136152,30.499695,50.5079205,30.520662466796946,0.5215872768164351,7.1712309281708055,3.970291913552122,18,25,2.995732273553991,2.5649493574615367,False,False,20.27330475306656,1.806222586226634,4474.848099178583,мінська,Оболонський,0
10818970,38000,2,5,100.0,68.0,12.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4429445,30.5284137,50.44582665,30.53806236407185,0.6449029733726774,1.008821661795231,4.61512051684126,5,5,4.219507705176107,2.5649493574615367,True,False,38.987124525128,0.2185905347680285,1210.5859941542772,хрещатик,Печерський,0
10813348,25000,2,5,63.0,34.0,13.0,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,50.4407385,30.5184149,50.3844014,30.4870545,0.19554962290757555,1.1038491636985843,4.158883083359672,5,9,3.5263605246161616,2.6390573296152584,False,False,23.872160446466925,0.2654196190595629,904.0524650691406,площа льва толстого,Голосіївський,0
10814596,38000,2,2,77.0,50.0,7.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,50.4593452,30.510287599747475,50.475,30.51265,0.7425986785346242,1.225463286673072,4.356708826689592,2,4,3.912023005428146,2.079441541679836,False,False,37.02917271615007,0.2812818885590364,660.5247115167857,контрактова площа,Подільський,0
10819994,38000,5,20,300.0,200.0,50.0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,50.4477875,30.5903154,50.45182665,30.611397100290525,0.9645759275882525,4.954812544226484,5.707110264748875,20,23,5.298317366548036,3.9318256327243257,False,False,76.30043344321268,0.8681823750332789,74322.18816339725,лівобережна,Дніпровський,0
10802810,10000,3,8,75.0,43.0,15.0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.47095,30.3566574,50.459437050000005,30.331931174544472,0.7400383765598799,11.866493243976867,4.330733340286331,8,10,3.7612001156935615,2.772588722239781,False,False,27.050532016668065,2.740065552775942,13349.804899473977,академмістечко,Святошинський,0
10573364,16000,3,5,95.0,60.0,13.0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,50.4790478,30.4370189,50.467421,30.463848,0.5273173814632939,6.733378243111961,4.564348191467836,5,10,4.0943445622221,2.6390573296152584,False,False,35.99770226054537,1.4752113468684764,8315.722130243272,сирець,Шевченківський,0
