subway,subway_lat,subway_lon
деміївська,50.4046553,30.5163614
іподром,50.3756461,30.4664506
вирлиця,50.4030762,30.6636527
дарниця,50.4556081,30.6138051
героїв дніпра,50.5231041,30.4967004
печерська,50.4272737,30.5368177
либідська,50.412432,30.5226498
кловська,50.4370834,30.5322426
поштова площа,50.458958,30.5224687
теремки,50.378757199999995,30.441980200146446
дніпро,50.442658699999996,30.564434131248042
харківська,50.401911,30.6503742
нивки,50.4586495,30.4017927
контрактова площа,50.4644102,30.5171003
славутич,50.3942606,30.6022841
червоний хутір,50.409396,30.6956618
арсенальна,50.4431156,30.5452737
вокзальна,50.44176575,30.488075128834357
майдан незалежності,50.4494298,30.5212204
чернігівська,50.4589705,30.631196
дружби народів,50.4173155,30.5444434
палац спорту,50.439721,30.5149799
шулявська,50.4566342,30.4469365
сирець,50.4763638,30.43089554258517
лісова,50.4631437,30.6423069
університет,50.4443625,30.5065457
васильківська,50.3931987,30.4848747
виставковий центр,50.3816933,30.4743447
житомирська,50.456063,30.3654221
лук'янівська,50.4621759,30.4805696
площа льва толстого,50.4401898,30.5157997
голосіївська,50.3969503,30.5094987
оболонь,50.486631849999995,30.516945523168175
осокорки,50.390212399999996,30.641033199946186
почайна,50.486631849999995,30.516945523168175
олімпійська,50.4317566,30.51393
берестейська,50.4593178,30.4141302
бориспільська,50.403877,30.6815092
палац україна,50.4214131,30.5181834
позняки,50.3989625,30.6310943
лівобережна,50.4528861,30.6013007
дорогожичі,50.4736748,30.4469922
святошин,50.458009,30.3930646
політехнічний інститут,50.4511297,30.4617132
видубичі,50.401822,30.5579077
хрещатик,50.4471201,30.5221153
тараса шевченка,50.4443625,30.5065457
гідропарк,50.445978,30.5743037
мінська,50.5116179,30.493042
академмістечко,50.4646996,30.3530875
театральна,50.4450499,30.5186351
золоті ворота,50.445809,30.5125747
