iter	RMSE
0	0.7163023342
1	0.6685712586
2	0.6279335483
3	0.5894044047
4	0.5565937871
5	0.5268087538
6	0.5018313665
7	0.4780403013
8	0.4577532238
9	0.4398181459
10	0.4241614834
11	0.4097568502
12	0.3964992236
13	0.3855779797
14	0.3751542904
15	0.3658313569
16	0.3579981843
17	0.3507735295
18	0.3448279154
19	0.340030114
20	0.3348201365
21	0.3311020332
22	0.326922326
23	0.3230834403
24	0.3205607393
25	0.3178435943
26	0.3148333239
27	0.3122521021
28	0.3099751201
29	0.3078870445
30	0.305661849
31	0.3039836138
32	0.302426518
33	0.3009399645
34	0.2996499021
35	0.2981781128
36	0.2968882644
37	0.2959730411
38	0.295037326
39	0.2937540363
40	0.2925385295
41	0.2916061462
42	0.2907784127
43	0.290117629
44	0.2893764558
45	0.2887211264
46	0.287666176
47	0.2866648459
48	0.2862774272
49	0.2856026964
50	0.2850092917
51	0.2844181008
52	0.283560563
53	0.2830877981
54	0.2824723934
55	0.2819189205
56	0.2814002531
57	0.2806294069
58	0.2802608679
59	0.2798187868
60	0.2791824952
61	0.2782964088
62	0.2776323419
63	0.2771113307
64	0.2768794955
65	0.2764373758
66	0.2757800306
67	0.2751476226
68	0.2746550026
69	0.2741106003
70	0.2736020231
71	0.2732836132
72	0.2724210485
73	0.2719372783
74	0.2713924468
75	0.2708494576
76	0.2705108577
77	0.2703230764
78	0.2698914403
79	0.2691561364
80	0.2686654556
81	0.2681756058
82	0.2678372132
83	0.2674598442
84	0.2671634357
85	0.2668050842
86	0.2662460818
87	0.2657303667
88	0.2652510594
89	0.2648958765
90	0.2644001191
91	0.2638161202
92	0.2632375124
93	0.2626414819
94	0.2617696621
95	0.2611902586
96	0.2608501568
97	0.2600628526
98	0.2594372003
99	0.2590682191
100	0.2588045217
101	0.258478361
102	0.2578186854
103	0.2574762015
104	0.256975451
105	0.2565482089
106	0.2561150895
107	0.2553447494
108	0.2549453037
109	0.2544215452
110	0.253746861
111	0.2533858176
112	0.2526987664
113	0.2522886812
114	0.2519793528
115	0.2518382087
116	0.2514266097
117	0.2508891594
118	0.2505971398
119	0.2500658749
120	0.2495797715
121	0.2491364655
122	0.2486327117
123	0.2482947988
124	0.2477137054
125	0.2473319993
126	0.2469397952
127	0.2465866538
128	0.2461443339
129	0.245984613
130	0.2455732058
131	0.2451082338
132	0.2446472516
133	0.2442368908
134	0.2438543703
135	0.2434515157
136	0.2429838902
137	0.2427727225
138	0.2425036512
139	0.2420709138
140	0.2416935578
141	0.241391605
142	0.2411388016
143	0.2408136159
144	0.240279944
145	0.2399050798
146	0.2394853252
147	0.2389785185
148	0.2387515329
149	0.2385128968
150	0.2382653379
151	0.2379097412
152	0.2375776511
153	0.2373592121
154	0.2370706337
155	0.2367898261
156	0.236554856
157	0.2362404023
158	0.2359505335
159	0.2355567775
160	0.235419566
161	0.2352058147
162	0.2349318032
163	0.2346574151
164	0.2343939574
165	0.2341229872
166	0.2338201684
167	0.233484181
168	0.2331655942
169	0.2328570737
170	0.2325377976
171	0.2323372983
172	0.231974293
173	0.2316532244
174	0.2312553998
175	0.2308604457
176	0.2306662255
177	0.2303152227
178	0.2300858522
179	0.2298952164
180	0.2293679103
181	0.2289762575
182	0.2285551422
183	0.2282747874
184	0.2279728675
185	0.2277846847
186	0.2276555555
187	0.2274715092
188	0.2272229915
189	0.2270753018
190	0.2267180829
191	0.2264666898
192	0.2261783874
193	0.2258395258
194	0.2256769741
195	0.2253721129
196	0.2251076116
197	0.2249486347
198	0.2247233466
199	0.2244491336
200	0.224163199
201	0.223945428
202	0.2236697653
203	0.223285958
204	0.2230178366
205	0.2227787938
206	0.2225206546
207	0.2222454385
208	0.221919936
209	0.221660945
210	0.2214420196
211	0.2212628142
212	0.2208879061
213	0.2207128308
214	0.2204389702
215	0.2202403895
216	0.2199768209
217	0.2197677749
218	0.2195095973
219	0.2192725693
220	0.2191350677
221	0.2190588556
222	0.2188399669
223	0.2185741411
224	0.2184570258
225	0.2182151279
226	0.2178984007
227	0.2175406005
228	0.2172435299
229	0.2168688813
230	0.2165425441
231	0.2163355481
232	0.2160870108
233	0.2157723955
234	0.2155192306
235	0.2152850042
236	0.2150498759
237	0.2148743882
238	0.2147043282
239	0.2144598301
240	0.2141603047
241	0.213813632
242	0.2135539499
243	0.2134392601
244	0.2132491044
245	0.2129606302
246	0.2127841141
247	0.2126291532
248	0.2124548551
249	0.2121639284
250	0.2118597416
251	0.2117227321
252	0.2114926806
253	0.2113539086
254	0.211158887
255	0.2109331931
256	0.2107162033
257	0.2105109648
258	0.2103860543
259	0.2102558159
260	0.2100828813
261	0.2100488851
262	0.2098887751
263	0.2096239591
264	0.2095253639
265	0.2093484954
266	0.2091269752
267	0.2088459003
268	0.2085777697
269	0.2083062463
270	0.2080892463
271	0.2079271031
272	0.2077615034
273	0.2075335973
274	0.2073293041
275	0.2070329524
276	0.2067346101
277	0.2065491481
278	0.2063690229
279	0.2062354307
280	0.2061044834
281	0.2059217282
282	0.2057646707
283	0.2056069991
284	0.2053748137
285	0.2051652803
286	0.2049741722
287	0.2047920494
288	0.2045015224
289	0.2041970796
290	0.203874661
291	0.2037434851
292	0.2034777792
293	0.2032719639
294	0.2030126661
295	0.202642479
296	0.2024257954
297	0.2023467212
298	0.2021540685
299	0.2019413978
300	0.201667599
301	0.201429431
302	0.2012092721
303	0.2010084548
304	0.200959462
305	0.2006983896
306	0.2004481717
307	0.2003894856
308	0.2002422385
309	0.2000794953
310	0.1998796058
311	0.1997409768
312	0.1994938956
313	0.1993151173
314	0.1990562595
315	0.1989337694
316	0.1987953106
317	0.1985652639
318	0.198405552
319	0.1982655469
320	0.1981759424
321	0.1979201433
322	0.1976444091
323	0.1974065258
324	0.1972451409
325	0.1971233939
326	0.1968944463
327	0.1967294378
328	0.1963823278
329	0.1960811016
330	0.1959843829
331	0.1958699781
332	0.1956650528
333	0.195486468
334	0.1952157292
335	0.1950697321
336	0.1949232602
337	0.1946837487
338	0.1945609694
339	0.1944090058
340	0.194219012
341	0.194022819
342	0.1939293349
343	0.19370068
344	0.1935177716
345	0.1933828266
346	0.1931717594
347	0.1930641775
348	0.1928875535
349	0.1926820863
350	0.1924933145
351	0.1922946575
352	0.1921430102
353	0.1919713145
354	0.1917912368
355	0.1917025176
356	0.1915179947
357	0.1914796372
358	0.191336379
359	0.1911892182
360	0.1909959773
361	0.1908541643
362	0.1908340832
363	0.1906733718
364	0.1904337466
365	0.1901241346
366	0.1900382937
367	0.1899081827
368	0.1897497014
369	0.1896241524
370	0.1895593447
371	0.1893192196
372	0.1891566547
373	0.1890218159
374	0.1888966564
375	0.1887186663
376	0.1885084803
377	0.1883913875
378	0.188240486
379	0.1881115811
380	0.1879943101
381	0.1877882273
382	0.1877073546
383	0.1876628381
384	0.1874867805
385	0.1873240516
386	0.1871413528
387	0.1869933937
388	0.186825617
389	0.1866779361
390	0.1864959634
391	0.1864310331
392	0.1863317509
393	0.1861521016
394	0.1859101853
395	0.18573888
396	0.1856383684
397	0.1854483685
398	0.1852906114
399	0.1850401442
400	0.1848506877
401	0.1847028819
402	0.1845081653
403	0.1842537355
404	0.1840584794
405	0.1838612157
406	0.1837277856
407	0.1836029763
408	0.1834736195
409	0.1833261055
410	0.1831863071
411	0.183008727
412	0.182885692
413	0.1828308774
414	0.1827627013
415	0.1826306989
416	0.1824425945
417	0.1822955697
418	0.1821246215
419	0.1820164628
420	0.1818708741
421	0.1816364165
422	0.1814489515
423	0.1812595683
424	0.1810534851
425	0.1807929683
426	0.1807013171
427	0.1805638217
428	0.1804421018
429	0.1802475219
430	0.1801343471
431	0.1799767601
432	0.1798319883
433	0.1796860633
434	0.1795693444
435	0.1794621235
436	0.1793074286
437	0.1792233506
438	0.1791076277
439	0.1788777959
440	0.178678118
441	0.1785195956
442	0.1784049806
443	0.1782268404
444	0.1781744833
445	0.1779935221
446	0.1779458577
447	0.1777972968
448	0.1776415629
449	0.1775612202
450	0.1774262887
451	0.1772282786
452	0.1770994623
453	0.1770156772
454	0.1768361774
455	0.1767550818
456	0.1765871106
457	0.1764424106
458	0.1762798795
459	0.176169225
460	0.1760808762
461	0.175969999
462	0.1758657261
463	0.1756920164
464	0.1755655596
465	0.1753995184
466	0.1752031366
467	0.1750405205
468	0.1748943191
469	0.1747886157
470	0.1746467548
471	0.1744779051
472	0.1743462342
473	0.174218385
474	0.1740695823
475	0.1739901205
476	0.1738944224
477	0.1738413592
478	0.1737167715
479	0.1736259316
480	0.1735365946
481	0.1733622381
482	0.1732308058
483	0.1731570201
484	0.1730288388
485	0.1729428043
486	0.1727787178
487	0.1727052367
488	0.1726482322
489	0.1725504127
490	0.1724163682
491	0.1722977435
492	0.1721291574
493	0.1719873907
494	0.1718734677
495	0.1717272897
496	0.1715325409
497	0.1713868664
498	0.1712202415
499	0.1711126379
500	0.1709272285
501	0.1707500992
502	0.1705926782
503	0.1705064393
504	0.1704150014
505	0.1703621782
506	0.1702361247
507	0.1701350951
508	0.1701071415
509	0.1700498121
510	0.1699241212
511	0.169779673
512	0.1697546551
513	0.1696674341
514	0.1694574006
515	0.1692539409
516	0.1691030261
517	0.1689818837
518	0.1689666542
519	0.1688719695
520	0.1687308316
521	0.168679769
522	0.1685964439
523	0.1684865764
524	0.1684105993
525	0.1682543779
526	0.1680873579
527	0.1679777083
528	0.1678682984
529	0.1678364798
530	0.1677882853
531	0.1676887399
532	0.1676077901
533	0.1674480287
534	0.1673703447
535	0.1672752664
536	0.1671410889
537	0.1669615392
538	0.1668981928
539	0.1667631104
540	0.1666378638
541	0.1665307561
542	0.1664193788
543	0.1663097387
544	0.1661485813
545	0.1660764804
546	0.1660003507
547	0.1659923425
548	0.1658614313
549	0.1657009232
550	0.1656234097
551	0.1654989915
552	0.1653941402
553	0.165335264
554	0.165204945
555	0.1650461329
556	0.1648782339
557	0.1648031705
558	0.1646566694
559	0.1645703869
560	0.1645009451
561	0.1643639048
562	0.1642776848
563	0.1641587273
564	0.1640801452
565	0.1640171215
566	0.1639116741
567	0.1637598671
568	0.1635988453
569	0.1634492777
570	0.1633650273
571	0.1632279819
572	0.1632195175
573	0.1631003954
574	0.16296462
575	0.1628404255
576	0.1627702828
577	0.162646748
578	0.1625328156
579	0.1624162345
580	0.1623408692
581	0.1622315078
582	0.1620185304
583	0.1619464769
584	0.1618396445
585	0.1616988465
586	0.161550412
587	0.1614480725
588	0.1612906459
589	0.1611162171
590	0.1610055838
591	0.1608418393
592	0.1607852792
593	0.160615346
594	0.1604711649
595	0.1604481321
596	0.1603021658
597	0.1602058302
598	0.160076894
599	0.1599879723
600	0.1599113921
601	0.1597735178
602	0.1597024459
603	0.1596292185
604	0.1595004731
605	0.1593219798
606	0.1593140467
607	0.1591628898
608	0.1590585825
609	0.1588649753
610	0.1587409878
611	0.1587324423
612	0.158607267
613	0.1586013521
614	0.1584699599
615	0.1584138329
616	0.1582505359
617	0.1581438929
618	0.1580396404
619	0.1579044202
620	0.1578051226
621	0.1576538977
622	0.1576407169
623	0.1575821199
624	0.1574511173
625	0.1573202487
626	0.1572116718
627	0.1571472716
628	0.15706711
629	0.1569539034
630	0.156826348
631	0.1567146726
632	0.1566696164
633	0.1566050187
634	0.1564941595
635	0.1564035231
636	0.1563512593
637	0.1562832997
638	0.1561750134
639	0.1560660937
640	0.155874088
641	0.1556878623
642	0.1556193234
643	0.1554975606
644	0.1554054041
645	0.1553165543
646	0.1552304167
647	0.1551136513
648	0.1550145684
649	0.1549372109
650	0.1548215735
651	0.1546885412
652	0.1545808528
653	0.154568099
654	0.1544280525
655	0.154402718
656	0.1542999797
657	0.154177999
658	0.1540424257
659	0.1539311078
660	0.1538079812
661	0.1536222251
662	0.1535136321
663	0.1534225058
664	0.1533230628
665	0.1531750167
666	0.1529942149
667	0.152887787
668	0.1528327015
669	0.1527922846
670	0.1527224624
671	0.1526122149
672	0.1525307775
673	0.1524288067
674	0.1523532269
675	0.1522962974
676	0.1521460102
677	0.1520177409
678	0.151850371
679	0.151780955
680	0.1517148347
681	0.1515935608
682	0.1515182351
683	0.151432844
684	0.1513423777
685	0.1512073246
686	0.1511160996
687	0.1509881203
688	0.1508869562
689	0.1507901275
690	0.1506992542
691	0.1505805025
692	0.1504826518
693	0.1503818681
694	0.1502798381
695	0.1501672335
696	0.1501073522
697	0.1499736238
698	0.1498601324
699	0.1497843909
700	0.1496408921
701	0.1495519803
