iter	Passed	Remaining
0	7	7465
1	14	7098
2	19	6586
3	24	6190
4	31	6276
5	36	6124
6	42	5999
7	48	6075
8	54	5976
9	59	5897
10	67	6036
11	72	5967
12	79	6018
13	84	5946
14	89	5889
15	97	5966
16	103	6004
17	108	5939
18	115	5955
19	120	5909
20	126	5888
21	131	5855
22	137	5819
23	144	5856
24	149	5826
25	154	5790
26	160	5798
27	165	5761
28	171	5726
29	177	5735
30	182	5708
31	188	5687
32	195	5736
33	202	5747
34	208	5750
35	213	5722
36	218	5695
37	225	5697
38	230	5674
39	235	5659
40	242	5668
41	247	5642
42	252	5617
43	258	5621
44	263	5598
45	268	5577
46	275	5585
47	280	5570
48	287	5573
49	294	5588
50	307	5712
51	313	5711
52	321	5736
53	326	5713
54	334	5751
55	340	5737
56	348	5761
57	354	5760
58	360	5750
59	369	5796
60	375	5783
61	384	5823
62	391	5827
63	401	5872
64	407	5857
65	415	5877
66	422	5878
67	430	5898
68	437	5901
69	444	5910
70	452	5916
71	457	5902
72	467	5935
73	473	5922
74	481	5939
75	487	5932
76	494	5931
77	502	5941
78	507	5920
79	516	5940
80	521	5919
81	530	5942
82	536	5929
83	544	5941
84	551	5932
85	558	5936
86	565	5936
87	571	5922
88	580	5940
89	585	5923
90	594	5942
91	600	5930
92	609	5943
93	619	5975
94	633	6034
95	641	6040
96	649	6045
97	657	6048
98	665	6055
99	672	6054
100	679	6050
101	685	6038
102	697	6071
103	702	6050
104	711	6066
105	716	6044
106	726	6062
107	732	6049
108	740	6054
109	746	6042
110	753	6038
111	761	6035
112	766	6020
113	775	6028
114	780	6008
115	788	6009
116	794	5999
117	802	5996
118	810	5997
119	815	5979
120	823	5984
121	831	5987
122	840	5995
123	846	5979
124	853	5975
125	860	5965
126	865	5948
127	873	5950
128	879	5937
129	886	5933
130	893	5924
131	899	5915
132	908	5919
133	913	5901
134	921	5906
135	927	5889
136	933	5882
137	939	5869
138	944	5853
139	952	5853
140	958	5840
141	964	5829
142	970	5814
143	975	5798
144	981	5788
145	987	5773
146	992	5761
147	1001	5766
148	1008	5759
149	1015	5756
150	1021	5745
151	1027	5733
152	1036	5738
153	1041	5723
154	1049	5721
155	1054	5705
156	1059	5689
157	1067	5690
158	1073	5679
159	1081	5679
160	1087	5669
161	1093	5654
162	1101	5655
163	1107	5645
164	1114	5637
165	1119	5624
166	1124	5611
167	1131	5604
168	1137	5594
169	1145	5592
170	1152	5589
171	1158	5575
172	1167	5581
173	1172	5567
174	1180	5567
175	1186	5555
176	1191	5541
177	1199	5541
178	1205	5528
179	1213	5528
180	1220	5520
181	1226	5514
182	1232	5500
183	1236	5485
184	1243	5477
185	1248	5464
186	1253	5451
187	1260	5442
188	1266	5433
189	1271	5420
190	1280	5421
191	1285	5408
192	1293	5409
193	1300	5401
194	1305	5389
195	1313	5386
196	1318	5373
197	1328	5379
198	1333	5367
199	1340	5362
200	1345	5349
201	1351	5337
202	1357	5330
203	1362	5316
204	1367	5304
205	1374	5297
206	1379	5284
207	1384	5272
208	1391	5267
209	1397	5256
210	1404	5250
211	1411	5246
212	1417	5236
213	1425	5235
214	1430	5223
215	1437	5216
216	1442	5204
217	1447	5191
218	1454	5185
219	1459	5174
220	1465	5164
221	1473	5165
222	1479	5154
223	1486	5148
224	1491	5136
225	1496	5125
226	1503	5120
227	1511	5116
228	1517	5109
229	1523	5099
230	1528	5088
231	1534	5078
232	1539	5067
233	1546	5061
234	1551	5051
235	1557	5040
236	1564	5035
237	1569	5023
238	1574	5011
239	1580	5005
240	1585	4994
241	1591	4983
242	1597	4976
243	1602	4965
244	1607	4954
245	1614	4949
246	1619	4937
247	1626	4930
248	1631	4920
249	1639	4918
250	1645	4909
251	1651	4903
252	1657	4892
253	1662	4881
254	1668	4874
255	1673	4864
256	1678	4853
257	1685	4846
258	1690	4836
259	1695	4826
260	1702	4819
261	1707	4809
262	1712	4798
263	1719	4793
264	1724	4782
265	1729	4771
266	1737	4771
267	1743	4761
268	1750	4757
269	1755	4747
270	1760	4736
271	1767	4729
272	1772	4719
273	1780	4717
274	1785	4707
275	1790	4697
276	1797	4692
277	1802	4682
278	1807	4672
279	1814	4665
280	1825	4670
281	1833	4667
282	1839	4659
283	1845	4652
284	1850	4643
285	1855	4633
286	1861	4625
287	1867	4616
288	1872	4607
289	1879	4600
290	1885	4593
291	1891	4586
292	1898	4581
293	1904	4572
294	1911	4567
295	1918	4561
296	1923	4552
297	1930	4548
298	1936	4540
299	1942	4533
300	1948	4524
301	1953	4515
302	1960	4508
303	1965	4499
304	1970	4490
305	1977	4484
306	1982	4474
307	1987	4465
308	1993	4458
309	1998	4449
310	2003	4439
311	2010	4434
312	2016	4425
313	2021	4416
314	2029	4412
315	2035	4405
316	2041	4398
317	2046	4388
318	2051	4379
319	2057	4373
320	2062	4363
321	2068	4354
322	2075	4349
323	2080	4340
324	2085	4331
325	2091	4324
326	2096	4315
327	2102	4306
328	2108	4299
329	2113	4290
330	2118	4281
331	2125	4277
332	2132	4270
333	2138	4263
334	2143	4254
335	2148	4246
336	2154	4239
337	2159	4230
338	2165	4221
339	2172	4216
340	2177	4207
341	2182	4198
342	2188	4192
343	2194	4184
344	2199	4175
345	2206	4169
346	2211	4161
347	2216	4152
348	2224	4150
349	2230	4142
350	2237	4136
351	2242	4128
352	2248	4120
353	2254	4113
354	2260	4106
355	2265	4097
356	2271	4091
357	2277	4083
358	2282	4075
359	2288	4068
360	2293	4059
361	2298	4050
362	2303	4042
363	2308	4034
364	2315	4028
365	2322	4023
366	2327	4015
367	2334	4009
368	2339	4001
369	2344	3992
370	2351	3986
371	2356	3977
372	2361	3969
373	2367	3963
374	2372	3954
375	2378	3946
376	2384	3941
377	2389	3932
378	2396	3926
379	2401	3918
380	2407	3911
381	2413	3904
382	2418	3896
383	2423	3887
384	2429	3881
385	2436	3876
386	2442	3868
387	2449	3863
388	2454	3854
389	2459	3846
390	2465	3840
391	2470	3832
392	2476	3824
393	2481	3816
394	2486	3808
395	2494	3804
396	2501	3799
397	2509	3796
398	2515	3789
399	2521	3781
400	2528	3777
401	2535	3771
402	2541	3764
403	2547	3757
404	2552	3749
405	2560	3745
406	2566	3738
407	2573	3733
408	2581	3730
409	2586	3722
410	2593	3716
411	2598	3708
412	2603	3700
413	2610	3694
414	2615	3686
415	2620	3678
416	2628	3675
417	2634	3667
418	2640	3660
419	2645	3652
420	2650	3644
421	2657	3639
422	2662	3631
423	2667	3623
424	2673	3617
425	2679	3610
426	2684	3602
427	2690	3595
428	2696	3588
429	2701	3581
430	2708	3575
431	2713	3567
432	2718	3559
433	2724	3553
434	2730	3546
435	2736	3540
436	2745	3537
437	2750	3529
438	2757	3523
439	2762	3516
440	2768	3509
441	2773	3501
442	2778	3493
443	2785	3488
444	2790	3480
445	2795	3472
446	2802	3467
447	2807	3459
448	2814	3454
449	2819	3446
450	2825	3439
451	2831	3432
452	2836	3425
453	2841	3417
454	2848	3411
455	2853	3404
456	2862	3400
457	2870	3396
458	2875	3388
459	2881	3383
460	2887	3375
461	2892	3367
462	2898	3361
463	2904	3354
464	2909	3347
465	2915	3341
466	2920	3333
467	2925	3326
468	2932	3320
469	2937	3312
470	2942	3305
471	2948	3298
472	2953	3290
473	2959	3284
474	2967	3280
475	2972	3272
476	2979	3267
477	2985	3260
478	2990	3252
479	2997	3247
480	3003	3240
481	3009	3234
482	3014	3227
483	3019	3219
484	3026	3213
485	3031	3205
486	3036	3198
487	3042	3192
488	3047	3184
489	3052	3177
490	3060	3172
491	3066	3166
492	3072	3159
493	3078	3153
494	3083	3146
495	3090	3140
496	3095	3132
